Quality;Description;n
1.1909776017206495;"[""sol != 'moderate-high'"", 'wismuslim == False']";175
1.1769079257869801;"[""hocc == 'four'""]";27
1.0514323451687348;"[""hocc != 'two'"", 'wismuslim == False']";134
0.6992608417403481;"[""heducation != 'moderate-high'"", 'wismuslim == False']";193
0.628167701797562;['wage <= 28.0'];547
0.5288186425749406;"[""sol != 'low-moderate'"", 'wismuslim == False']";205
0.5166074150715743;"[""sol == 'moderate-high'"", 'wwork == True']";98
0.49945064858817423;['numborn <= 3.0', 'wismuslim == False'];152
0.17393885277945567;['wage <= 25.0'];356
0.17381903337072074;['wage <= 26.0'];425
0.058874415656193974;"[""hocc == 'three'"", 'wismuslim == False']";60
0.0;['numborn <= 2.0', 'wismuslim == False'];97
