Quality;Description;n
8.572099510600312;['good_media_exposure == True', 'wismuslim == False'];212
8.205728154308499;['wismuslim == False'];220
8.031593575014222;"[""hocc != 'four'"", 'wismuslim == False']";218
7.883886631292582;"[""hocc == 'three'"", 'good_media_exposure == False']";54
7.837751271657961;['wage > 26.0', 'wismuslim == False'];197
7.673082045537402;['wage > 28.0', 'good_media_exposure == False'];83
7.66395698539499;"[""hocc == 'four'""]";27
7.6231235755723;"[""heducation != 'low-moderate'"", 'wismuslim == False']";212
7.155807667899138;"[""sol != 'low'"", 'wismuslim == False']";215
6.945043838160818;"[""hocc != 'three'"", 'good_media_exposure == False']";55
6.346021467321693;"[""heducation != 'low'"", 'wismuslim == False']";218
6.343727248244418;['wismuslim == True', 'good_media_exposure == False'];101
6.170049591002232;['wage <= 32.0', 'wismuslim == False'];76
6.026103561307134;"[""heducation != 'moderate-high'"", 'wismuslim == False']";193
5.55695721202538;"[""heducation == 'moderate-high'"", 'good_media_exposure == False']";27
5.376748435494315;"[""sol != 'low-moderate'"", 'wismuslim == False']";205
5.186710828371847;"[""hocc == 'two'"", 'good_media_exposure == False']";36
4.864845867349983;['numborn <= 1.0', 'wwork == True'];115
4.6311415804044085;"[""heducation != 'high'"", 'good_media_exposure == False']";83
4.52613438099444;['numborn <= 3.0', 'good_media_exposure == False'];48
4.508948938928943;"[""hocc != 'one'"", 'good_media_exposure == False']";96
4.4757796330266775;['numborn <= 2.0', 'good_media_exposure == False'];30
4.247891362416569;"[""heducation == 'high'"", 'wismuslim == False']";183
4.034923668794537;"[""sol == 'high'"", 'good_media_exposure == False']";18
3.8004457349175076;"[""sol == 'high'"", 'wismuslim == False']";155
3.7773091273169452;['wage <= 32.0', 'good_media_exposure == False'];38
3.7512686883971718;['numborn <= 1.0', 'good_media_exposure == False'];15
3.0157750639554064;['wage <= 28.0', 'wismuslim == False'];44
2.9363674192686173;"[""hocc != 'two'"", 'wismuslim == False']";134
2.7960225257066096;['numborn <= 3.0', 'wismuslim == False'];152
2.1464280404343477;['numborn <= 2.0', 'wismuslim == False'];97
1.8398624414717297;['numborn <= 1.0', 'wismuslim == False'];56
